,Wk,Day,Date,Time,Home,Away,HomeGoals,AwayGoals,HXG,AXG,,,Attendance,Venue,Referee
173,25,Sat,4/3/2023,,PAS Giannina,Volos NFC,0,1,0.9,0.6,,,NA,Stadio Zosimades,
174,25,Sat,4/3/2023,,PAS Lamia,Aris,2,1,0.5,0.8,,,NA,Dimotiko Athlitiko Kentro Lamias,
175,25,Sat,4/3/2023,,PAOK,Ionikos,6,0,2.6,0.1,,,NA,Stadio Toumbas,
176,26,Sat,11/3/2023,,Aris,PAS Giannina,3,1,1.5,0.3,,,NA,Stadio Harilaou Kleánthis Vikelídis,
177,26,Sat,11/3/2023,,Ionikos,Asteras Tripoli,1,0,0.4,0.1,,,NA,Dimotiko Gipedo Neapolis Nikaias,
178,26,Sat,11/3/2023,,Levadiakos,OFI Crete,2,0,1.3,0.3,,,NA,Stadio Levadias,
179,26,Sat,11/3/2023,,Panetolikos,PAS Lamia,1,1,1.3,0.4,,,NA,Stadio Panetolikou,
180,26,Sat,11/3/2023,,Volos NFC,PAOK,0,1,0.2,1.2,,,NA,Dimotiko Stadio Neapolis Volou,
181,26,Sat,11/3/2023,,AEK Athens,Olympiacos,1,3,0.9,0.9,,,NA,Olympiako Stadio Spyros Louis,
182,26,Sat,11/3/2023,,Atromitos,Panathinaikos,0,2,0.3,1.9,,,NA,Stadio Peristeriou,
